Issue#,Type,Status,Priority,Resolution,Affects Version/s,Fix Version/s,Component/s,Labels,Estimated Complexity,Assignee,Reporter,Number of Votes,Number of Watchers,Created,Updated,Resolved,Description,Comments
10550,Improvement,Resolved,Minor,Fixed,,"2.18.2,                                            2.19.0",camel-spring-boot,None,Unknown,Luca Burgazzoli,Luca Burgazzoli,0,1,12/2/2016 16:23,12/6/2016 16:25,12/6/2016 16:25,,"

    There are no comments yet on this issue.
 "
10551,Improvement,Resolved,Major,Fixed,,"2.18.2,                                            2.19.0",camel-spring-boot,None,Unknown,Luca Burgazzoli,Luca Burgazzoli,0,1,12/3/2016 10:52,8/5/2017 21:18,12/6/2016 16:25,,"

    There are no comments yet on this issue.
 "
10552,Improvement,Resolved,Major,Fixed,,"2.18.2,                                            2.19.0",camel-spring-boot,None,Unknown,Luca Burgazzoli,Luca Burgazzoli,0,1,12/3/2016 17:33,12/6/2016 16:26,12/6/2016 16:26,,"

    There are no comments yet on this issue.
 "
10553,Task,Resolved,Minor,Fixed,,2.19.0,documentation,None,Unknown,Claus Ibsen,Alexandru Enache,0,2,12/3/2016 20:08,12/4/2016 13:44,12/4/2016 13:44,"

When navigating to http://camel.apache.org/components.html and trying to click the links in the description column of ""CXF / camel-cxf"" and ""CXFRS / camel-cxf"" components I'm being taken to http://apache.org/cxf/ (which is not found).
Maybe the path should actually be http://cxf.apache.org/ (not sure about this though)?
I don't have access to edit the page so I raised this ticket.

","





 Claus Ibsen
 added a comment  - 04/Dec/16 13:44 

Thanks for reporting 







 Claus Ibsen
 added a comment  - 04/Dec/16 13:44                    Thanks for reporting              



"
10554,Improvement,Resolved,Minor,Fixed,2.19.0,2.19.0,camel-mongodb,None,Unknown,Andrea Cosentino,Terrien Jean-Yves,0,3,12/3/2016 20:19,12/20/2016 12:44,12/20/2016 12:44,"

Hi, 
The mongodb driver has changed in its foundation. 
It is recommended not to use many classes of the verion 2 still present in the driver. 
This is the case with DBObject, which is the basis for the configuration of the camel component. 
I'm working on the evolution of this component to use the new classes of version 3, like ""Document"". 
I've created à patch (no completed)
A+JYT

","





 Terrien Jean-Yves
 added a comment  - 03/Dec/16 20:21 

Patch to use mongo 3 API. 







 Terrien Jean-Yves
 added a comment  - 03/Dec/16 20:21                    Patch to use mongo 3 API.              








 Andrea Cosentino
 added a comment  - 04/Dec/16 08:47 

I was looking at the patch

+//    /**
+//     * Check if outputType is compatible with operation. DbCursor and DBObjectList applies to findAll. DBObject applies to others.
+//     */
+//    private void validateOutputType() {
+//        if (!ObjectHelper.isEmpty(outputType)) {
+//            if (MongoDbOutputType.DBObjectList.equals(outputType) && !(MongoDbOperation.findAll.equals(operation))) {
+//                throw new IllegalArgumentException(""outputType DBObjectList is only compatible with operation findAll"");
+//            }
+//            if (MongoDbOutputType.DBCursor.equals(outputType) && !(MongoDbOperation.findAll.equals(operation))) {
+//                throw new IllegalArgumentException(""outputType DBCursor is only compatible with operation findAll"");
+//            }
+//            if (MongoDbOutputType.DBObject.equals(outputType) && (MongoDbOperation.findAll.equals(operation))) {
+//                throw new IllegalArgumentException(""outputType DBObject is not compatible with operation findAll"");
+//            }
+//        }
+//    }


I see you're commenting this method and also

+//        if (writeConcern != null) {
+//            mongoConnection.setWriteConcern(writeConcern);
+//        } else if (writeConcernRef != null) {
+//            mongoConnection.setWriteConcern(writeConcernRef);
+//        }
+//
+//        // Set the ReadPreference
+//        if (readPreference != null) {
+//            mongoConnection.setReadPreference(readPreference);
+//        }


the writeConcern settings. These parameter are URI params from the endpoint configuration, so if we don't need the anymore maybe we have to deprecate them or remove them, but I think it is just because this patch is work in progress. 
Since this seems to be a big change in the component, may I ask you to open a Pull Request on Github if you can? This way we can review the code in an easier way. If you can't I'll wait for the complete patch. 







 Andrea Cosentino
 added a comment  - 04/Dec/16 08:47                    I was looking at the patch 

  
 + //    /**
 + //     * Check  if  outputType is compatible with operation. DbCursor and DBObjectList applies to findAll. DBObject applies to others.
 + //     */
 + //     private  void validateOutputType() {
 + //         if  (!ObjectHelper.isEmpty(outputType)) {
 + //             if  (MongoDbOutputType.DBObjectList.equals(outputType) && !(MongoDbOperation.findAll.equals(operation))) {
 + //                 throw   new  IllegalArgumentException( ""outputType DBObjectList is only compatible with operation findAll"" );
 + //            }
 + //             if  (MongoDbOutputType.DBCursor.equals(outputType) && !(MongoDbOperation.findAll.equals(operation))) {
 + //                 throw   new  IllegalArgumentException( ""outputType DBCursor is only compatible with operation findAll"" );
 + //            }
 + //             if  (MongoDbOutputType.DBObject.equals(outputType) && (MongoDbOperation.findAll.equals(operation))) {
 + //                 throw   new  IllegalArgumentException( ""outputType DBObject is not compatible with operation findAll"" );
 + //            }
 + //        }
 + //    } 
 
  

 I see you're commenting this method and also 

  
 + //         if  (writeConcern !=  null ) {
 + //            mongoConnection.setWriteConcern(writeConcern);
 + //        }  else   if  (writeConcernRef !=  null ) {
 + //            mongoConnection.setWriteConcern(writeConcernRef);
 + //        }
 + //
 + //        // Set the ReadPreference
 + //         if  (readPreference !=  null ) {
 + //            mongoConnection.setReadPreference(readPreference);
 + //        } 
 
  

 the writeConcern settings. These parameter are URI params from the endpoint configuration, so if we don't need the anymore maybe we have to deprecate them or remove them, but I think it is just because this patch is work in progress.  

 Since this seems to be a big change in the component, may I ask you to open a Pull Request on Github if you can? This way we can review the code in an easier way. If you can't I'll wait for the complete patch.              








 Terrien Jean-Yves
 added a comment  - 04/Dec/16 10:01 

this parameters are déprecated and  are no effect on driver v3
void	setOptions(int options)
Deprecated. 
Set options on instances of DBCursor
void	setReadPreference(ReadPreference readPreference)
Deprecated. 
Set the default read preference with either MongoClientURI or MongoClientOptions
void	setWriteConcern(WriteConcern writeConcern)
Deprecated. 
Set the default write concern with either MongoClientURI or MongoClientOptions
void	slaveOk()
Deprecated. 
Replaced with ReadPreference.secondaryPreferred()
I'm working to solve this problem.
In the new version you should put these options on the mongoClient bean and not put them on the camel url.
    <bean id=""mongoBean"" class=""com.mongodb.MongoClient"">
        <constructor-arg name=""host"" value=""${mongodb.host}"" />
        <constructor-arg name=""port"" value=""${mongodb.port}"" />
    </bean>
Bye. 







 Terrien Jean-Yves
 added a comment  - 04/Dec/16 10:01                    this parameters are déprecated and  are no effect on driver v3 

 void	setOptions(int options) 
Deprecated.  
Set options on instances of DBCursor 
void	setReadPreference(ReadPreference readPreference) 
Deprecated.  
Set the default read preference with either MongoClientURI or MongoClientOptions 
void	setWriteConcern(WriteConcern writeConcern) 
Deprecated.  
Set the default write concern with either MongoClientURI or MongoClientOptions 
void	slaveOk() 
Deprecated.  
Replaced with ReadPreference.secondaryPreferred() 

 I'm working to solve this problem. 
In the new version you should put these options on the mongoClient bean and not put them on the camel url. 
    <bean id=""mongoBean"" class=""com.mongodb.MongoClient""> 
        <constructor-arg name=""host"" value=""${mongodb.host}"" /> 
        <constructor-arg name=""port"" value=""${mongodb.port}"" /> 
    </bean> 

 Bye.              








 Terrien Jean-Yves
 added a comment  - 04/Dec/16 10:08 

In the camel component configuration an option is outputType which is implemented as a MongoDbOutputType enumeration 
The values ​​are DBObjectList, DBObject, DBCursor which matches in the new API to List<Document>, Document, MongoIterable 
I do not know what to do. This configuration is purely camel 
I can keep the enumeration values ​​and use the new classes 
Or define three new values (DocumentList, Document, MongoIterable) ​​and using the new classes. 
In the first case the values ​​of the option does not have a name to refer to the mongo API but remains compatible with the previous versions of camel-mongodb. 
In the second the values ​​correspond to the mongo API but are no longer compatible with the previous versions. 
A+JYT 







 Terrien Jean-Yves
 added a comment  - 04/Dec/16 10:08                    In the camel component configuration an option is outputType which is implemented as a MongoDbOutputType enumeration  
The values ​​are DBObjectList, DBObject, DBCursor which matches in the new API to List<Document>, Document, MongoIterable  

 I do not know what to do. This configuration is purely camel  
I can keep the enumeration values ​​and use the new classes  
Or define three new values (DocumentList, Document, MongoIterable) ​​and using the new classes.  

 In the first case the values ​​of the option does not have a name to refer to the mongo API but remains compatible with the previous versions of camel-mongodb.  
In the second the values ​​correspond to the mongo API but are no longer compatible with the previous versions.  

 A+JYT              








 Andrea Cosentino
 added a comment  - 04/Dec/16 10:33 

Lets wait for some feedback from users on the mailing list  







 Andrea Cosentino
 added a comment  - 04/Dec/16 10:33                    Lets wait for some feedback from users on the mailing list                








 Terrien Jean-Yves
 added a comment  - 04/Dec/16 16:33 

readPreference writeConcern 







 Terrien Jean-Yves
 added a comment  - 04/Dec/16 16:33                    readPreference writeConcern              








 Terrien Jean-Yves
 added a comment  - 11/Dec/16 14:24 

Using Filters class
Adding FIELDS_FILTER headers on update operation
Update documentation
Change  MongoDbOutputType to
    DocumentList, //List<Document>
    Document, //Document
    MongoIterable //MongoIterable
Using Bson class instead of Document when is possible (more generic)
Work in progress
Using more generic classes (like Bson)
Study of the use of MongoCollection<TDocument> where TDocument is generic parameter. 







 Terrien Jean-Yves
 added a comment  - 11/Dec/16 14:24                    Using Filters class 
Adding FIELDS_FILTER headers on update operation 
Update documentation 
Change  MongoDbOutputType to 
    DocumentList, //List<Document> 
    Document, //Document 
    MongoIterable //MongoIterable 
Using Bson class instead of Document when is possible (more generic) 

 Work in progress 
Using more generic classes (like Bson) 
Study of the use of MongoCollection<TDocument> where TDocument is generic parameter.              








 Andrea Cosentino
 added a comment  - 11/Dec/16 14:41 

Do you create a new camel component only for mongo versione 3.x? 







 Andrea Cosentino
 added a comment  - 11/Dec/16 14:41                    Do you create a new camel component only for mongo versione 3.x?              








 Terrien Jean-Yves
 added a comment  - 11/Dec/16 19:14   - edited 

For Mongo Java Driver 3.x
mongo drivers support mongo versions
MongoDB Ver|2.4|2.6|3.0|3.2|3.4
Version | 3.4. |     ✓         |             ✓       |                 ✓       |                 ✓             |           ✓
Version |         3.3.    |      ✓         |             ✓        |                ✓        |                ✓	 |
Version |        3.2.     |     ✓          |            ✓        |                ✓        |                ✓	 |
Version |        2.14   |     ✓          |            ✓        |                ✓        |                ✓ [*]	| 
The V2 driver does not support more version than the V3 driver.
I don't have tested with mongo 2.x
A+JYT 







 Terrien Jean-Yves
 added a comment  - 11/Dec/16 19:14   - edited                   For Mongo Java Driver 3.x 
mongo drivers support mongo versions 
MongoDB Ver|2.4|2.6|3.0|3.2|3.4 
Version | 3.4. |     ✓         |             ✓       |                 ✓       |                 ✓             |           ✓ 
Version |         3.3.    |      ✓         |             ✓        |                ✓        |                ✓	 | 
Version |        3.2.     |     ✓          |            ✓        |                ✓        |                ✓	 | 
Version |        2.14   |     ✓          |            ✓        |                ✓        |                ✓  [*] 	|  

 The V2 driver does not support more version than the V3 driver. 
I don't have tested with mongo 2.x 
A+JYT              








 Andrea Cosentino
 added a comment  - 11/Dec/16 19:51 

In the mailing list we suggested you to create a new component (camel-mongodb3) with the features from driver V3. This way we will be able to avoid problem of breaking changes for end users.
Are you follow this idea? 







 Andrea Cosentino
 added a comment  - 11/Dec/16 19:51                    In the mailing list we suggested you to create a new component (camel-mongodb3) with the features from driver V3. This way we will be able to avoid problem of breaking changes for end users. 

 Are you follow this idea?              








 Terrien Jean-Yves
 added a comment  - 12/Dec/16 08:55 

Yes
I'll stabilize the code.
Remove options from previous versions in doc. (Put references to camel-mongodb)
And create the camel-mongo3 component 







 Terrien Jean-Yves
 added a comment  - 12/Dec/16 08:55                    Yes 
I'll stabilize the code. 
Remove options from previous versions in doc. (Put references to camel-mongodb) 
And create the camel-mongo3 component              








 Terrien Jean-Yves
 added a comment  - 14/Dec/16 08:41 

Hi.
I've renamed the camel-mongodb3 component.
What is the right method? Do I have to rename exported packages?
Like org.apache.camel.component.mongodb => org.apache.camel.component.mongodb3
A+JYT 







 Terrien Jean-Yves
 added a comment  - 14/Dec/16 08:41                    Hi. 
I've renamed the camel-mongodb3 component. 
What is the right method? Do I have to rename exported packages? 
Like org.apache.camel.component.mongodb => org.apache.camel.component.mongodb3 

 A+JYT              








 Andrea Cosentino
 added a comment  - 14/Dec/16 09:03 

You don't have to rename camel-mongodb component to camel-mongodb3.
You have to create another folder with another component named camel-mongodb3.
Thanks for your effort 







 Andrea Cosentino
 added a comment  - 14/Dec/16 09:03                    You don't have to rename camel-mongodb component to camel-mongodb3. 

 You have to create another folder with another component named camel-mongodb3. 

 Thanks for your effort              








 Terrien Jean-Yves
 added a comment  - 14/Dec/16 12:43 

Sorry I've moved my code to camel-mongodb3.
Should the package be ""org.apache.camel.component.mongodb"" or ""org.apache.camel.component.mongodb3""?
I am afraid that if I leave ""org.apache.camel.component.mongodb"", there will be conflicts, if the two components are imported.
Bye 







 Terrien Jean-Yves
 added a comment  - 14/Dec/16 12:43                    Sorry I've moved my code to camel-mongodb3. 
Should the package be ""org.apache.camel.component.mongodb"" or ""org.apache.camel.component.mongodb3""? 
I am afraid that if I leave ""org.apache.camel.component.mongodb"", there will be conflicts, if the two components are imported. 

 Bye              








 Andrea Cosentino
 added a comment  - 14/Dec/16 12:47 

It's better ""org.apache.camel.component.mongodb3"" 
Thanks 







 Andrea Cosentino
 added a comment  - 14/Dec/16 12:47                    It's better ""org.apache.camel.component.mongodb3""   

 Thanks              








 Terrien Jean-Yves
 added a comment  - 14/Dec/16 21:56 

Good evening,
I think this version is complete enough to create the component in the repository.
I have a problem on my Mac
The camel-mongodb project in the master version has tests that fail.
testPersistentTailTrack
testPersistentTailTrackIncreasingDateField
testCustomTailTrackLocation
The same tests with the same errors fail in the camel-mongodb3 project
I posted on the list but it seems that the build works.
I could not fix problem on the master.
And so I can not test these cases in the new component.
cordially
PS: I'll have to get familiar with Git. I usually use SVN. 







 Terrien Jean-Yves
 added a comment  - 14/Dec/16 21:56                    Good evening, 
I think this version is complete enough to create the component in the repository. 

 I have a problem on my Mac 
The camel-mongodb project in the master version has tests that fail. 
testPersistentTailTrack 
testPersistentTailTrackIncreasingDateField 
testCustomTailTrackLocation 
The same tests with the same errors fail in the camel-mongodb3 project 
I posted on the list but it seems that the build works. 

 I could not fix problem on the master. 
And so I can not test these cases in the new component. 

 cordially 
PS: I'll have to get familiar with Git. I usually use SVN.              








 Andrea Cosentino
 added a comment  - 17/Dec/16 13:38 

I'm starting merging process. 







 Andrea Cosentino
 added a comment  - 17/Dec/16 13:38                    I'm starting merging process.              








 Andrea Cosentino
 added a comment  - 18/Dec/16 09:15 

Thanks. The component is merged  







 Andrea Cosentino
 added a comment  - 18/Dec/16 09:15                    Thanks. The component is merged                








 Claus Ibsen
 added a comment  - 20/Dec/16 12:43 

Is there more work needed on this? 







 Claus Ibsen
 added a comment  - 20/Dec/16 12:43                    Is there more work needed on this?              








 Andrea Cosentino
 added a comment  - 20/Dec/16 12:44 

I forget to close the JIRA. Sorry.
Maybe we need to create a page on the website. 








 Andrea Cosentino
 added a comment  - 20/Dec/16 12:44                    I forget to close the JIRA. Sorry. 

 Maybe we need to create a page on the website.  
             



"
10555,Bug,Resolved,Minor,Fixed,,2.19.0,karaf,None,Unknown,Claus Ibsen,Claus Ibsen,0,1,12/4/2016 12:32,12/4/2016 14:29,12/4/2016 14:29,"

This error happens

2016-12-04 13:30:56,747 | ERROR | nsole user karaf | ShellUtil                        | 43 - org.apache.karaf.shell.core - 4.0.7 | Exception caught while executing command
javax.xml.transform.TransformerFactoryConfigurationError: Provider org.apache.xalan.processor.TransformerFactoryImpl not found
	at javax.xml.transform.TransformerFactory.newInstance(TransformerFactory.java:121)[:2.7.0]
	at org.apache.camel.converter.jaxp.XmlConverter.createTransformerFactory(XmlConverter.java:1173)
	at org.apache.camel.converter.jaxp.XmlConverter.getTransformerFactory(XmlConverter.java:1063)
	at org.apache.camel.converter.jaxp.XmlConverter.createTransformer(XmlConverter.java:1168)
	at org.apache.camel.converter.jaxp.XmlConverter.toResult(XmlConverter.java:127)
	at org.apache.camel.converter.jaxp.XmlConverter.toStringFromDocument(XmlConverter.java:299)
	at org.apache.camel.model.ModelHelper.dumpModelAsXml(ModelHelper.java:107)
	at org.apache.camel.commands.AbstractLocalCamelController.getRestModelAsXml(AbstractLocalCamelController.java:414)
	at org.apache.camel.commands.RestShowCommand.performContextCommand(RestShowCommand.java:32)
	at org.apache.camel.commands.AbstractContextCommand.executeLocal(AbstractContextCommand.java:74)
	at org.apache.camel.commands.AbstractContextCommand.execute(AbstractContextCommand.java:42)
	at org.apache.camel.karaf.commands.RestShow.execute(RestShow.java:38)
	at org.apache.karaf.shell.impl.action.command.ActionCommand.execute(ActionCommand.java:83)[43:org.apache.karaf.shell.core:4.0.7]
	at org.apache.karaf.shell.impl.console.osgi.secured.SecuredCommand.execute(SecuredCommand.java:67)[43:org.apache.karaf.shell.core:4.0.7]
	at org.apache.karaf.shell.impl.console.osgi.secured.SecuredCommand.execute(SecuredCommand.java:87)[43:org.apache.karaf.shell.core:4.0.7]
	at org.apache.felix.gogo.runtime.Closure.executeCmd(Closure.java:480)[43:org.apache.karaf.shell.core:4.0.7]
	at org.apache.felix.gogo.runtime.Closure.executeStatement(Closure.java:406)[43:org.apache.karaf.shell.core:4.0.7]
	at org.apache.felix.gogo.runtime.Pipe.run(Pipe.java:108)[43:org.apache.karaf.shell.core:4.0.7]
	at org.apache.felix.gogo.runtime.Closure.execute(Closure.java:182)[43:org.apache.karaf.shell.core:4.0.7]
	at org.apache.felix.gogo.runtime.Closure.execute(Closure.java:119)[43:org.apache.karaf.shell.core:4.0.7]
	at org.apache.felix.gogo.runtime.CommandSessionImpl.execute(CommandSessionImpl.java:94)[43:org.apache.karaf.shell.core:4.0.7]
	at org.apache.karaf.shell.impl.console.ConsoleSessionImpl.run(ConsoleSessionImpl.java:274)[43:org.apache.karaf.shell.core:4.0.7]
	at java.lang.Thread.run(Thread.java:745)[:1.8.0_31]

karaf@root()> camel:rest-show camel-1
Error executing command: Provider org.apache.xalan.processor.TransformerFactoryImpl not found


When running the camel-example-servlet-rest-blueprint example

","





 Claus Ibsen
 added a comment  - 04/Dec/16 12:47 

It works if you install camel-saxon which provides the saxon xslt transformer. 







 Claus Ibsen
 added a comment  - 04/Dec/16 12:47                    It works if you install camel-saxon which provides the saxon xslt transformer.              








 Claus Ibsen
 added a comment  - 04/Dec/16 13:45   - edited 

The JDK provides the transformer as class: com.sun.org.apache.xalan.internal.xsltc.trax.TransformerFactoryImpl 







 Claus Ibsen
 added a comment  - 04/Dec/16 13:45   - edited                   The JDK provides the transformer as class: com.sun.org.apache.xalan.internal.xsltc.trax.TransformerFactoryImpl              








 Claus Ibsen
 added a comment  - 04/Dec/16 14:29 

Fixed by CAMEL-10558 







 Claus Ibsen
 added a comment  - 04/Dec/16 14:29                    Fixed by   CAMEL-10558                



"
10556,Bug,Resolved,Minor,Fixed,,2.19.0,"examples,                                            karaf",None,Unknown,Claus Ibsen,Claus Ibsen,0,1,12/4/2016 13:13,12/4/2016 13:36,12/4/2016 13:36,"

This example camel-example-twitter-websocket-blueprint cannot load the static html file when running in karaf

HTTP ERROR: 500

Problem accessing /index.html. Reason:

    java.lang.RuntimeException: java.io.FileNotFoundException: /webapp/index.html (No such file or directory)


Its some classloading issues with camel-websocket and camel-jetty when running in OSGi. As the stacktrace seems to load from file system.

2016-12-04 14:11:50,879 | WARN  | SocketServer-266 | ServletHandler                   | 83 - org.eclipse.jetty.util - 9.2.19.v20160908 | /
java.lang.RuntimeException: java.io.FileNotFoundException: /webapp/index.html (No such file or directory)
	at org.eclipse.jetty.http.HttpContent$ResourceAsHttpContent.getDirectBuffer(HttpContent.java:110)[71:org.eclipse.jetty.http:9.2.19.v20160908]
	at org.eclipse.jetty.server.HttpOutput.sendContent(HttpOutput.java:665)[80:org.eclipse.jetty.server:9.2.19.v20160908]
	at org.eclipse.jetty.servlet.DefaultServlet.sendData(DefaultServlet.java:931)[81:org.eclipse.jetty.servlet:9.2.19.v20160908]
	at org.eclipse.jetty.servlet.DefaultServlet.doGet(DefaultServlet.java:534)[81:org.eclipse.jetty.servlet:9.2.19.v20160908]
	at javax.servlet.http.HttpServlet.service(HttpServlet.java:687)[63:javax.servlet-api:3.1.0]
	at javax.servlet.http.HttpServlet.service(HttpServlet.java:790)[63:javax.servlet-api:3.1.0]
	at org.eclipse.jetty.servlet.ServletHolder.handle(ServletHolder.java:812)[81:org.eclipse.jetty.servlet:9.2.19.v20160908]
	at org.eclipse.jetty.servlet.ServletHandler.doHandle(ServletHandler.java:587)[81:org.eclipse.jetty.servlet:9.2.19.v20160908]
	at org.eclipse.jetty.server.session.SessionHandler.doHandle(SessionHandler.java:221)[80:org.eclipse.jetty.server:9.2.19.v20160908]
	at org.eclipse.jetty.server.handler.ContextHandler.doHandle(ContextHandler.java:1127)[80:org.eclipse.jetty.server:9.2.19.v20160908]
	at org.eclipse.jetty.servlet.ServletHandler.doScope(ServletHandler.java:515)[81:org.eclipse.jetty.servlet:9.2.19.v20160908]
	at org.eclipse.jetty.server.session.SessionHandler.doScope(SessionHandler.java:185)[80:org.eclipse.jetty.server:9.2.19.v20160908]
	at org.eclipse.jetty.server.handler.ContextHandler.doScope(ContextHandler.java:1061)[80:org.eclipse.jetty.server:9.2.19.v20160908]
	at org.eclipse.jetty.server.handler.ScopedHandler.handle(ScopedHandler.java:141)[80:org.eclipse.jetty.server:9.2.19.v20160908]
	at org.eclipse.jetty.server.Dispatcher.forward(Dispatcher.java:191)[80:org.eclipse.jetty.server:9.2.19.v20160908]
	at org.eclipse.jetty.server.Dispatcher.forward(Dispatcher.java:72)[80:org.eclipse.jetty.server:9.2.19.v20160908]
	at org.eclipse.jetty.servlet.DefaultServlet.doGet(DefaultServlet.java:588)[81:org.eclipse.jetty.servlet:9.2.19.v20160908]
	at javax.servlet.http.HttpServlet.service(HttpServlet.java:687)[63:javax.servlet-api:3.1.0]
	at javax.servlet.http.HttpServlet.service(HttpServlet.java:790)[63:javax.servlet-api:3.1.0]
	at org.eclipse.jetty.servlet.ServletHolder.handle(ServletHolder.java:812)[81:org.eclipse.jetty.servlet:9.2.19.v20160908]
	at org.eclipse.jetty.servlet.ServletHandler.doHandle(ServletHandler.java:587)[81:org.eclipse.jetty.servlet:9.2.19.v20160908]
	at org.eclipse.jetty.server.session.SessionHandler.doHandle(SessionHandler.java:221)[80:org.eclipse.jetty.server:9.2.19.v20160908]
	at org.eclipse.jetty.server.handler.ContextHandler.doHandle(ContextHandler.java:1127)[80:org.eclipse.jetty.server:9.2.19.v20160908]
	at org.eclipse.jetty.servlet.ServletHandler.doScope(ServletHandler.java:515)[81:org.eclipse.jetty.servlet:9.2.19.v20160908]
	at org.eclipse.jetty.server.session.SessionHandler.doScope(SessionHandler.java:185)[80:org.eclipse.jetty.server:9.2.19.v20160908]
	at org.eclipse.jetty.server.handler.ContextHandler.doScope(ContextHandler.java:1061)[80:org.eclipse.jetty.server:9.2.19.v20160908]
	at org.eclipse.jetty.server.handler.ScopedHandler.handle(ScopedHandler.java:141)[80:org.eclipse.jetty.server:9.2.19.v20160908]
	at org.eclipse.jetty.server.handler.HandlerWrapper.handle(HandlerWrapper.java:97)[80:org.eclipse.jetty.server:9.2.19.v20160908]
	at org.eclipse.jetty.server.Server.handle(Server.java:499)[80:org.eclipse.jetty.server:9.2.19.v20160908]
	at org.eclipse.jetty.server.HttpChannel.handle(HttpChannel.java:311)[80:org.eclipse.jetty.server:9.2.19.v20160908]
	at org.eclipse.jetty.server.HttpConnection.onFillable(HttpConnection.java:257)[80:org.eclipse.jetty.server:9.2.19.v20160908]
	at org.eclipse.jetty.io.AbstractConnection$2.run(AbstractConnection.java:544)[72:org.eclipse.jetty.io:9.2.19.v20160908]
	at org.eclipse.jetty.util.thread.QueuedThreadPool.runJob(QueuedThreadPool.java:635)[83:org.eclipse.jetty.util:9.2.19.v20160908]
	at org.eclipse.jetty.util.thread.QueuedThreadPool$3.run(QueuedThreadPool.java:555)[83:org.eclipse.jetty.util:9.2.19.v20160908]
	at java.lang.Thread.run(Thread.java:745)[:1.8.0_31]
Caused by: java.io.FileNotFoundException: /webapp/index.html (No such file or directory)
	at java.io.RandomAccessFile.open(Native Method)[:1.8.0_31]
	at java.io.RandomAccessFile.<init>(RandomAccessFile.java:243)[:1.8.0_31]
	at org.eclipse.jetty.util.BufferUtil.readFrom(BufferUtil.java:437)[83:org.eclipse.jetty.util:9.2.19.v20160908]
	at org.eclipse.jetty.util.BufferUtil.toBuffer(BufferUtil.java:884)[83:org.eclipse.jetty.util:9.2.19.v20160908]
	at org.eclipse.jetty.http.HttpContent$ResourceAsHttpContent.getDirectBuffer(HttpContent.java:106)[71:org.eclipse.jetty.http:9.2.19.v20160908]
	... 34 more



","

    There are no comments yet on this issue.
 "
10557,Bug,Resolved,Minor,Fixed,2.17.3,"2.17.5,                                            2.18.2,                                            2.19.0",camel-salesforce,None,Novice,Claus Ibsen,Sune Keller,0,3,12/4/2016 13:54,12/4/2016 14:35,12/4/2016 14:33,"

The documentation says to append ""/request"" to retrieve the request object. The current code does not do that. See https://github.com/apache/camel/pull/1327.

","





 Claus Ibsen
 added a comment  - 04/Dec/16 14:33 

Thanks for the PR 







 Claus Ibsen
 added a comment  - 04/Dec/16 14:33                    Thanks for the PR              








 ASF GitHub Bot
 added a comment  - 04/Dec/16 14:35 

Github user sirlatrom closed the pull request at:
 https://github.com/apache/camel/pull/1327 







 ASF GitHub Bot
 added a comment  - 04/Dec/16 14:35                    Github user sirlatrom closed the pull request at: 

      https://github.com/apache/camel/pull/1327               



"
10558,Improvement,Resolved,Major,Fixed,,2.19.0,"camel-core,                                            karaf,                                            osgi",None,Unknown,Claus Ibsen,Claus Ibsen,0,1,12/4/2016 13:59,12/4/2016 14:28,12/4/2016 14:28,"

Related to CAMEL-10555
If OSGi cannot load xalan transformer etc, then we should fallback to the JDK default. However OSGi makes the regular loader not able to fallback itself, and we need to help it.

","

    There are no comments yet on this issue.
 "
10559,New Feature,Resolved,Major,Fixed,,2.19.0,tooling,None,Unknown,Claus Ibsen,Claus Ibsen,0,1,12/5/2016 10:40,12/5/2016 13:17,12/5/2016 13:17,"

See
https://github.com/fabric8io/fabric8/issues/6617

","

    There are no comments yet on this issue.
 "
